gh	ec
PL1	4.2.2.2
PL1	4.2.2.9
PL1	4.2.2.10
PL2	4.2.2.2
PL2	4.2.2.9
PL3	4.2.2.2
PL4	4.2.2.23
PL5	4.2.2.3
PL5	4.2.2.14
PL6	4.2.2.3
PL6	4.2.2.19
PL6	4.2.2.*
PL6	4.2.2.11
PL6	4.2.2.26
PL7	4.2.2.3
PL7	4.2.2.11
PL7	4.2.2.*
PL7	4.2.2.14
PL7	4.2.2.26
PL8	4.2.2.1
PL8	4.2.2.5
PL8	4.2.2.12
PL8	4.2.2.20
PL8	4.2.2.7
PL8	4.2.2.3
PL9	4.2.2.2
PL9	4.2.2.9
PL9	4.2.2.*
PL9	4.2.2.23
PL10	4.2.2.2
PL11	4.2.2.23
PL11	4.2.2.24
PL12	4.2.2.8
PL12	4.2.2.7
PL13	4.2.2.7
PL14	4.2.2.3
PL14	4.2.2.26
PL14	4.2.2.14
PL14	4.2.2.*
PL15	4.2.2.3
PL15	4.2.2.26
PL15	4.2.2.7
PL15	4.2.2.8
PL16	4.2.2.1
PL17	4.2.2.3
PL17	4.2.2.26
PL18	4.2.2.3
PL18	4.2.2.11
PL18	4.2.2.*
PL20	4.2.2.14
PL21	4.2.2.7
PL21	4.2.2.8
PL21	4.2.2.*
PL22	4.2.2.6
PL23	4.2.2.*
PL24	4.2.2.*
PL25	4.2.2.*
PL26	4.2.2.24
PL27	4.2.2.*
PL28	4.2.2.*
PL29	4.2.2.20
PL30	4.2.2.1
PL31	4.2.2.14
PL31	4.2.2.3
PL32	4.2.2.3
PL33	4.2.2.1
PL33	4.2.2.25
PL33	4.2.2.20
PL34	4.2.2.*
PL35	4.2.2.*
PL36	4.2.2.3
PL37	4.2.2.20
PL37	4.2.2.8
PL37	4.2.2.*
PL38	4.2.2.14
PL39	4.2.2.*
PL40	4.2.2.*
PL41	4.2.2.3