Substrate;Product
C05337;C02528
C00011;C00237
C00011;C00058
C00058;C00234
C00101;C00234
C00234;C00445
C00445;C00143
C00143;C00440
C00237;C00101
C00237;C00024
C00440;C00101
C00440;C00024
C00399;C00390
C00399;C00122
C00042;C00390
C00042;C00122
C17343;C05460
C05460;C15614
C15614;C05467
C05467;C01794
C17346;C05447
C05447;C05448
C05448;C05449
C05449;C05337
C00042;C00122
C00042;C15603
C15602;C00122
C15602;C15603
C00025;C00624
C00624;C04133
C04133;C01250
C01250;C00437
C00437;C15532
C00169;C15532
C15532;C00327
C00327;C03406
C00049;C03406
C03406;C00062
C03406;C00122
C05382;C07836
C07836;C11472
C11472;C07838
C07838;C06397
C06397;C06398
C00805;C00628
C00044;C05922
C05922;C05923
C05923;C06148
C06148;C04895
C04895;C03684
C03684;C20264
C00267;C00668
C00668;C05345
C05345;C00352
C00352;C00357
C00357;C04501
C04501;C00043
C00064;C00169
C00169;C00438
C00438;C00337
C00337;C00295
C00295;C01103
C00119;C01103
C01103;C00105
C00714;C00470
C00470;C02273
C02273;C00333
C11907;C06620
C06620;C11928
C11928;C11927
C11927;C21071
C21071;C11921
C03401;C20961
C20961;C20966
C20966;C20962
C20966;C20963
C20966;C20964
C00257;C00204
C00204;C04442
C04442;C00118
C04442;C00022
C00118;C00236
C00236;C00197
C00118;C00197
C16150;C21154
C21154;C20361
C20361;C19569
C20361;C19567
C19567;C19569
C19569;C19631
C19631;C01059
C19631;C00232
C00040;C00264
C00024;C00264
C00264;C00640
C00640;C00658
C00658;C00040
C00136;C05269
C00024;C05269
C05269;C05268
C05268;C05271
C05271;C05270
C05270;C05267
C00024;C05267
C05267;C05266
C05266;C05276
C05276;C01944
C01944;C05265
C00024;C05265
C05265;C05264
C05264;C05275
C05275;C05274
C05274;C05263
C00024;C05263
C05263;C05262
C05262;C03221
C03221;C01832
C01832;C05261
C00024;C05261
C05261;C05260
C05260;C05273
C05273;C02593
C02593;C05259
C00024;C05259
C05259;C05258
C05258;C05272
C05272;C00154
C06756;C06757
C06757;C06758
C06758;C01454
C07212;C07213
C07213;C07214
C07214;C07215
C07208;C07216
C07216;C07209
C07209;C07211
C00073;C00019
C00019;C01137
C01137;C00170
C00170;C03089
C03089;C04188
C00170;C04188
C04188;C04582
C04582;C15650
C15650;C15651
C15651;C15606
C15650;C15606
C15606;C01180
C01180;C00073
C00049;C03082
C03082;C00441
C00441;C20258
C20258;C03972
C03972;C00666
C00666;C00680
C00680;C00047
C00033;C00227
C00227;C00024
C00033;C00024
C00024;C04488
C04488;C03920
C03576;C03920
C03920;C01438
C03920;C04832
C04628;C01438
C04628;C04832
C04832;C04628
C04832;C03576
C00061;C21803
C21803;C21804
C21804;C21805
C21805;C21646
C21646;C21648
C21648;C21647
C00154;C02934
C00065;C02934
C02934;C00836
C00836;C12126
C12126;C00195
C00156;C05848
C05848;C17554
C17554;C17559
C17559;C17552
C17552;C17560
C17560;C17561
C17561;C17562
C17562;C00399
C01172;C01236
C01236;C00345
C00345;C00199
C00022;C02612
C02612;C02226
C02226;C06032
C06032;C00109
C18629;C12416
C12416;C12415
C12415;C18630
C18630;C18631
C12420;C12421
C12421;C12422
C12422;C12423
C12423;C12424
C00956;C05556
C00183;C05556
C00097;C05556
C05556;C05557
C05557;C00395
C19845;C01092
C01063;C01092
C01092;C01037
C01092;C01037
C01037;C01909
C01909;C00120
C00267;C00668
C00668;C00103
C00103;C00029
C01606;C04783
C04783;C03233
C03233;C00230
C00235;C00341
C00129;C00341
C00341;C00448
C00129;C00448
C00448;C00353
C00129;C00353
C00353;C20834
C20834;C21978
C21978;C21979
C00105;C00015
C00015;C00075
C00075;C00063
C00063;C00112
C00067;C00184
C00184;C00111
C00111;C00354
C00354;C00085
C00448;C01841
C01841;C19939
C19939;C20404
C20404;C20403
C20403;C20400
C20400;C20399
C20399;C20397
C20397;C20407
C12366;C12367
C12367;C12368
C12368;C12369
C12369;C12370
C12370;C12371
C12371;C06801
C12369;C12378
C12378;C12379
C00083;C21108
C21108;C10851
C10851;C20852
C20852;C20853
C20853;C20854
C00083;C21129
C20854;C21130
C21129;C21130
C00267;C00668
C00668;C05345
C05345;C05378
C05378;C00111
C05378;C00118
C00111;C00118
C00118;C00236
C00236;C00197
C00118;C00197
C00197;C00631
C00631;C00074
C00074;C00022
C03912;C17366
C00083;C17366
C17366;C17367
C17367;C06669
C21988;C21994
C21994;C21995
C21995;C21996
C21996;C21997
C21997;C21998
C00183;C00141
C00141;C00966
C00966;C00522
C00049;C00099
C00522;C00864
C00099;C00864
C00082;C00355
C00355;C03758
C03758;C00547
C00547;C00788
C01606;C18314
C18314;C03223
C03223;C00230
C00422;C00641
C00641;C01885
C01885;C00116
C18353;C18354
C18354;C18356
C18356;C12434
C12434;C12435
C12435;C12436
C00044;C01304
C01304;C01268
C01268;C04454
C04454;C04732
C00199;C15556
C04732;C04332
C15556;C04332
C04332;C00255
C00255;C00061
C00061;C00016
C00025;C00334
C00334;C00232
C00232;C00042
C11907;C06620
C06620;C11928
C11928;C18035
C18035;C11915
C11915;C11916
C00118;C11437
C00022;C11437
C11437;C11434
C11434;C11435
C11435;C11436
C11436;C11453
C11453;C11811
C11811;C00129
C00129;C00235
C00103;C00029
C00029;C00167
C00167;C03033
C03033;C00191
C00191;C00800
C00800;C01040
C01040;C03289
C03289;C00072
C00025;C00624
C00624;C04133
C04133;C01250
C01250;C00437
C00437;C00077
C00083;C20413
C20413;C20417
C20417;C20406
C20406;C10784
C10784;C07578
C20406;C21903
C21903;C06972
C15810;C15813
C15813;C15814
C00082;C15809
C11437;C20246
C15809;C20246
C15814;C20246
C20246;C20247
C03373;C04556
C04556;C04752
C04752;C01081
C20247;C01081
C01081;C00068
C01194;C01277
C01277;C04637
C04637;C01245
C01245;C01272
C06575;C06576
C06576;C06577
C06577;C06578
C00074;C00036
C00011;C00036
C00036;C00149
C00083;C21343
C21343;C21344
C21344;C21345
C21345;C21346
C21346;C21347
C21337;C21338
C21338;C21339
C21339;C21340
C21347;C21340
C21340;C21341
C21341;C11469
C21340;C21342
C21342;C11469
C00024;C00083
C00083;C00222
C00222;C01013
C01013;C05668
C05668;C00894
C00894;C00100
C00100;C00683
C00683;C01213
C01213;C00091
C00091;C00232
C00232;C00989
C00989;C11062
C11062;C00877
C00877;C01144
C01144;C00332
C00332;C00024
C00695;C01794
C01794;C05122
C01794;C01921
C00090;C02480
C02480;C14610
C14610;C03586
C03586;C00846
C00049;C03082
C03082;C00441
C00441;C00263
C00263;C01118
C01118;C02291
C02291;C00155
C00155;C00073
C00002;C07024
C07024;C07025
C07025;C07026
C07026;C07027
C00082;C07027
C07027;C07028
C07028;C07029
C07029;C07030
C07030;C07031
C07031;C07032
C07032;C01610
C00129;C00235
C00235;C00341
C00129;C00341
C00341;C00448
C00129;C00448
C00448;C00353
C00129;C00353
C01172;C01236
C01236;C00345
C00345;C04442
C04442;C00118
C04442;C00022
C05427;C15882
C00544;C15882
C15882;C15883
C15883;C02483
C02483;C02477
C15882;C14151
C14151;C14152
C00353;C20737
C00544;C20737
C20737;C20738
C20738;C14155
C14155;C14153
C20737;C14156
C14156;C14154
C00829;C04314
C04314;C03012
C03012;C06204
C06204;C06203
C06203;C06202
C06202;C00805
C00011;C00237
C00237;C00024
C01054;C01902
C01902;C08830
C08830;C22116
C22116;C22121
C22121;C02141
C02141;C01943
C01943;C11508
C11508;C15776
C15776;C11522
C11522;C11523
C11523;C22120
C22120;C22123
C22123;C15782
C15782;C15783
C15783;C08821
C08821;C01753
C11522;C22119
C22119;C22122
C22122;C15777
C15777;C15780
C15780;C15781
C15781;C01789
C00119;C03090
C00064;C03090
C03090;C03838
C03838;C04376
C04376;C04640
C04640;C03373
C03373;C04751
C03373;C15667
C15667;C04751
C04751;C04823
C04823;C04677
C04677;C04734
C04734;C00130
C00108;C02247
C02247;C21873
C21873;C10641
C10641;C21330
C21330;C21141
C21141;C21140
C21140;C21874
C21874;C21875
C00399;C00390
C00399;C00003
C00004;C00390
C00004;C00003
C00103;C00029
C00029;C00718
C00103;C00498
C00498;C00718
C00718;C00369
C00253;C01020
C01020;C01059
C01059;C18232
C18232;C01596
C01596;C01384
C01384;C00122
C00042;C00122
C00042;C15603
C15602;C00122
C15602;C15603
C00399;C00390
C00399;C00003
C00004;C00390
C00004;C00003
C04732;C21971
C21971;C19154
C19156;C19155
C19155;C19153
C19154;C19153
C19153;C19152
C19152;C00876
C00044;C05922
C05922;C05923
C05923;C06148
C06148;C04895
C04895;C04874
C04895;C05925
C05925;C04874
C04874;C01300
C01300;C04807
C01300;C00921
C04807;C00921
C00921;C00415
C00415;C00101
C00590;C05366
C05366;C10646
C10646;C18167
C18167;C10682
C10682;C21191
C21191;C21183
C21183;C21184
C21184;C10577
C10577;C10556
C10556;C10874
C00129;C00235
C00235;C00341
C00129;C00341
C00341;C00448
C00129;C00448
C00448;C00353
C00129;C00353
C00063;C00789
C01068;C00789
C00697;C00014
C00073;C00019
C00019;C01234
C01234;C06547
C00047;C22137
C22137;C04075
C04075;C22138
C22138;C22139
C22139;C22140
C22140;C22141
C03939;C05744
C01209;C05744
C05744;C04618
C04618;C04246
C04246;C05745
C05745;C05746
C01209;C05746
C05746;C05747
C05747;C05748
C05748;C05749
C05749;C05750
C01209;C05750
C05750;C04620
C04620;C05751
C05751;C05752
C05752;C05753
C01209;C05753
C05753;C04619
C04619;C05754
C05754;C05755
C05755;C05756
C01209;C05756
C05756;C05757
C05757;C05758
C05758;C05223
C05223;C05759
C01209;C05759
C05759;C04688
C04688;C05760
C05760;C05761
C05761;C05762
C01209;C05762
C05762;C04633
C04633;C05763
C05763;C05764
C00078;C21124
C21124;C21125
C21125;C21126
C21126;C21127
C21127;C21128
C21128;C07349
C07349;C02079
C21320;C21321
C21321;C21322
C21322;C21323
C21323;C21324
C06337;C06318
C06318;C00230
C00191;C00905
C00905;C00514
C00514;C00204
C00204;C04442
C04442;C00022
C04442;C00118
C00410;C03205
C03205;C02140
C02140;C01124
C01124;C01780
C00036;C00158
C00024;C00158
C00158;C00311
C00311;C00026
C01054;C01724
C01724;C11455
C11455;C05108
C05108;C15808
C15808;C15816
C15816;C05103
C05103;C22112
C22112;C22136
C22136;C05437
C05437;C03845
C03845;C01189
C01189;C01164
C01164;C00187
C00078;C20563
C00148;C20563
C20563;C20512
C20512;C20513
C20513;C20607
C20607;C20604
C20604;C20605
C20605;C20630
C20630;C20045
C20045;C20564
C00044;C01304
C01304;C05925
C05925;C04874
C04874;C01300
C01300;C04807
C01300;C00921
C04807;C00921
C00921;C00415
C00415;C00101
C00218;C03920
C00543;C03920
C00565;C03920
C03920;C01438
C03920;C04832
C04628;C01438
C04628;C04832
C04832;C04628
C00078;C22145
C00108;C22145
C00041;C22145
C22145;C22146
C22146;C22147
C22147;C22148
C22148;C22149
C00251;C00254
C00254;C00166
C00166;C00079
C00119;C02739
C02739;C02741
C02741;C04896
C04896;C04916
C04916;C04666
C04666;C01267
C01267;C01100
C01100;C00860
C00860;C01929
C01929;C00135
C16168;C16374
C16374;C16375
C16375;C16376
C16376;C16169
C16172;C16387
C16387;C16388
C16388;C16389
C16389;C16173
C00251;C18054
C18054;C19686
C19686;C21306
C21306;C21307
C21307;C11468
C11468;C11448
C00047;C01028
C01028;C03955
C03955;C20333
C20333;C05554
C00083;C12348
C12348;C18327
C18327;C18328
C18328;C18329
C18329;C18353
C21430;C12441
C00083;C12441
C12441;C12442
C12442;C18293
C18293;C18294
C00083;C12354
C12354;C18330
C18330;C18331
C18331;C18332
C18332;C18629
C12354;C18336
C18336;C18709
C12354;C18337
C01033;C11977
C11977;C11978
C11978;C11979
C11979;C11980
C11980;C11982
C11982;C11984
C11979;C11981
C11981;C11983
C00630;C11961
C11961;C11962
C11962;C11963
C11963;C11964
C11964;C11966
C11966;C11968
C11963;C11965
C11965;C11967
C01161;C04642
C04642;C04186
C04186;C04052
C04052;C05600
C05600;C03063
C00188;C00109
C00109;C06006
C06006;C14463
C14463;C06007
C06007;C00671
C00671;C00407
C01172;C01236
C01236;C00345
C00345;C00199
C00199;C00231
C00199;C00117
C00117;C05382
C00117;C00118
C00231;C05382
C00231;C00118
C05382;C00279
C05382;C05345
C00118;C00279
C00118;C05345
C00279;C05345
C00279;C00118
C00231;C05345
C00231;C00118
C05345;C00668
C00668;C01172
C00189;C00346
C00346;C00570
C00570;C00350
C00251;C00108
C00108;C04302
C04302;C01302
C01302;C03506
C03506;C00078
C00180;C06321
C06321;C00090
C01454;C06729
C06729;C06730
C07215;C06731
C06731;C02923
C07211;C06720
C06720;C02923
C00024;C00332
C00332;C00356
C00024;C00356
C00356;C00418
C00418;C01107
C01107;C20345
C00418;C20847
C20847;C20848
C20848;C20345
C20345;C00129
C00129;C00235
C00078;C02700
C02700;C00328
C00328;C03227
C03227;C00632
C00632;C04409
C04409;C03824
C03824;C02220
C00077;C00515
C00515;C22101
C22101;C22102
C00199;C06019
C00067;C06019
C06019;C00085
C00085;C00354
C00354;C00118
C00199;C06019
C00067;C06019
C06019;C05345
C05345;C05378
C05378;C00118
C00065;C01005
C01005;C21559
C21559;C03401
C03401;C22072
C22072;C22073
C22073;C22074
C22074;C22075
C00100;C00894
C00894;C05668
C05668;C01013
C01013;C00222
C00222;C00024
C01182;C00988
C01182;C00197
C00988;C00160
C00160;C00048
C00160;C00027
C00007;C00048
C00007;C00027
C00027;C00007
C00048;C00026
C00048;C00037
C00025;C00026
C00025;C00037
C00037;C00065
C00065;C00168
C00065;C00037
C00048;C00168
C00048;C00037
C00168;C00258
C00258;C00197
C00037;C00014
C20956;C17691
C17691;C17692
C17692;C17693
C17693;C21204
C21204;C21205
C21205;C21206
C21206;C21207
C04268;C21208
C21207;C21208
C21208;C21156
C21156;C06802
C00199;C01182
C01182;C00197
C00011;C00197
C00197;C00236
C00236;C00118
C00024;C00158
C00036;C00158
C00158;C00417
C00417;C00311
C00311;C00048
C00024;C00149
C00048;C00149
C00149;C00036
C07481;C13747
C13747;C16353
C07481;C07480
C07480;C16353
C16353;C00385
C00111;C00118
C00118;C00236
C00236;C00197
C00118;C00197
C00197;C00631
C00631;C00074
C00074;C00022
C00108;C00090
C11907;C04268
C04268;C11909
C11909;C11910
C11910;C11911
C00074;C00036
C00036;C00049
C00049;C00036
C00036;C00074
C00036;C00011
C00134;C02714
C02714;C05936
C05936;C02946
C02946;C00334
C00118;C00354
C00354;C00085
C00085;C00279
C00279;C00447
C00447;C05382
C05382;C00117
C00117;C00199
C00257;C00204
C00204;C04442
C04442;C00118
C04442;C00022
C00880;C01216
C01216;C01286
C01286;C00118
C00118;C00197
C00062;C00179
C00179;C00134
C00019;C01137
C01137;C00315
C00134;C00315
C06578;C06579
C06579;C06580
C06580;C06581
C06581;C06582
C06582;C00596
C06582;C02632
C11907;C11908
C11908;C11925
C11925;C11933
C00956;C05556
C00183;C05556
C00097;C05556
C05556;C05557
C05557;C06564
C06564;C06565
C06565;C03112
C03112;C06568
C06568;C06569
C06569;C06566
C00385;C00366
C00366;C11821
C11821;C12248
C12248;C02350
C02350;C00499
C00499;C00086
C01164;C05443
C05443;C01561
C01561;C01673
C00251;C00254
C00254;C00826
C00826;C00079
C00195;C01190
C01190;C01290
C00024;C00227
C00227;C00033
C00254;C20953
C20953;C21085
C21085;C21086
C21086;C21087
C21087;C20940
C20940;C20941
C20941;C20942
C01209;C19673
C19673;C20372
C20372;C20373
C20373;C20374
C20374;C20375
C20375;C20376
C20376;C20377
C20377;C20378
C20378;C19846
C19846;C19845
C00078;C21124
C21124;C21131
C21131;C21134
C21134;C21135
C21135;C21136
C00257;C00204
C00204;C00577
C00204;C00022
C00880;C01216
C01216;C00577
C01216;C00022
C00577;C00258
C00101;C00143
C00143;C00445
C00445;C00234
C00234;C00101
C01054;C01724
C01724;C11455
C11455;C05108
C05108;C15808
C15808;C15816
C15816;C05103
C05103;C22112
C22112;C22136
C22136;C05437
C05437;C04525
C04525;C15777
C15777;C15778
C15778;C05440
C05440;C01694
C01694;C05441
C12382;C12383
C12383;C12384
C12384;C12385
C12385;C12386
C12386;C12387
C12387;C18710
C18710;C12388
C12388;C18711
C18711;C12389
C20956;C17691
C17691;C17694
C17694;C17696
C17696;C17697
C17697;C21218
C21218;C21216
C21368;C21219
C21216;C21219
C21219;C17700
C17700;C12112
C00025;C02987
C02987;C03741
C03741;C00430
C00430;C00931
C00931;C01024
C01024;C01051
C01051;C03263
C03263;C01079
C01079;C02191
C02191;C00032
C00011;C01001
C01001;C01274
C01274;C04330
C04330;C04377
C04377;C04488
C04488;C03920
C03576;C03920
C03920;C01438
C03920;C04832
C04628;C01438
C04628;C04832
C04832;C04628
C04832;C03576
C00049;C05840
C05840;C03722
C03722;C01185
C01185;C00857
C00857;C00003
C00353;C20525
C03506;C20525
C20525;C20526
C20526;C20527
C20527;C20529
C20529;C20530
C00049;C03082
C03082;C00441
C00441;C20258
C20258;C03972
C03972;C04462
C04462;C04421
C04421;C00666
C00666;C00680
C00680;C00047
C00078;C19687
C19687;C19688
C19688;C19698
C19698;C19699
C19699;C19700
C19700;C19701
C00199;C01112
C01112;C04478
C04478;C01187
C01187;C04121
C00112;C00705
C00705;C00458
C00063;C00458
C00458;C00460
C00460;C00365
C00365;C00364
C00364;C00363
C00363;C00459
C03021;C00621
C01455;C09816
C09816;C09817
C09817;C09818
C09818;C09819
C09819;C09820
C09820;C00512
C00124;C00984
C00984;C00446
C00446;C00052
C00446;C00103
C00029;C00052
C00029;C00103
C00052;C00029
C00149;C00022
C00149;C00011
C00022;C00074
C00106;C00429
C00429;C02642
C02642;C00099
C00178;C21028
C21028;C21029
C21029;C01205
